"実行/デバッグ","Run SimpleTest","⇧⌥X G","ウィンドウ"
"ソース","行のインデント","⌘I","JavaScript ソースの編集中"
"タスク・エディター","タスクのサブミット","⇧⌥S","タスク・エディター"
"実行/デバッグ","インスペクション","⇧⌘I","PHP デバッグ中"
"リファクタリング - JavaScript","名前変更 - リファクタリング ","⌥⌘R","JavaScript ビュー"
"ナビゲート","次のメンバーへジャンプ","⌃⌥↓","スクリプト・ソースの編集中"
"リファクタリング - PHP","ActionDefinition.renameElement.name","⇧⌥V","PHP ソースの編集中"
"JavaScript デバッグ","評価","⇧⌥E","JavaScript ソースの編集中"
"ウィンドウ","キー・アシストを表示","⇧⌘L","ダイアログまたはウィンドウ"
"テキスト編集","次の単語を削除","⌥⌦","テキストの編集"
"ソース","クイック・アシスト - ファイル内の名前変更","⌘2 R","JavaScript ソースの編集中"
"ソース","「囲む」クイック・メニュー","⌥⌘Z","ウィンドウ"
"テキスト編集","前の単語","⌥←","テキストの編集"
"ビュー","ビューの表示 (検索)","⌥⌘Q S","ウィンドウ"
"実行/デバッグ","再開","F8","デバッグ"
"編集","フォーマット","⇧⌘F","PHP ソースの編集中"
"ウィンドウ","前のパースペクティブ","⇧⌘F8","ウィンドウ"
"テキスト編集","行のスクロールアップ","Esc Z","テキストの編集"
"ビュー","ビューの表示 (コンソール)","⌥⌘Q C","ウィンドウ"
"テキスト編集","現在行の上に行を挿入","⇧⌘↩","テキストの編集"
"ナビゲート","宣言を開く","F3","ウィンドウ"
"編集","一致するタグ","⇧⌃.","構造化テキスト・エディターで編集"
"ナビゲート","前のメンバーへジャンプ","⌃⌥↑","JavaScript ソースの編集中"
"テキスト編集","ツールチップ説明の表示","F2","テキストの編集"
"ナビゲート","型階層を開く","F4","JavaScript ビュー"
"テキスト編集","テキストの先頭","⌥<","テキストの編集"
"AnyEdit ツール","スペースをタブに","⌃⌥Tab","テキストの編集"
"編集","コンテンツ・アシスト","⌃Space","ダイアログまたはウィンドウ"
"実行/デバッグ","メモリー・モニター・ペインを切り替え","⌘T","メモリー・ビュー内"
"ファイル","すべて閉じる","⌃X ⌃C","ウィンドウ"
"ビュー","ズームイン","⌘=","ウィンドウ"
"リファクタリング - JavaScript","移動 - リファクタリング ","⌥⌘V","JavaScript ビュー"
"実行/デバッグ","Java アプレットのデバッグ","⌃⌥⌘D A","ウィンドウ"
"ソース","出現箇所のマーク","⇧⌥O","PHP ソースの編集中"
"AnyEdit ツール","大文字に変更","⌃⌥U","テキストの編集"
"ソース","ソース・クイック・メニューを表示","⌥⌘S","JavaScript ビュー"
"リファクタリング - PHP","名前変更 - リファクタリング ","⌥⌘R","ウィンドウ"
"SVN","パッチの作成...","⌃⌥P","ウィンドウ"
"ナビゲート","Maven POM を開く","⇧⌥P","ウィンドウ"
"編集","挿入モードの切り替え","⇧⌘Insert","テキストの編集"
"スクリプト・ソース","コメントの切り替え","⇧⌘C","スクリプト・ソースの編集中"
"ビュー","ズームアウト","⌘-","ウィンドウ"
"ソース","コメントの切り替え","⌘7","プロパティー・ファイルの編集中"
"ビュー","ビューの表示 (変数)","⌥⌘Q V","ウィンドウ"
"編集","次の要素を選択","⇧⌃→","Java ソースの編集"
"テキスト編集","テキストの先頭","Esc <","テキストの編集"
"実行/デバッグ","指定行まで実行","⌘R","デバッグ"
"実行/デバッグ","インスペクション","⇧⌘I","PHP デバッグ中"
"テキスト編集","行のスクロールダウン","⌃Z","テキストの編集"
"テキスト編集","マークの交換","⌃X ⌃X","テキストの編集"
"ウィンドウ","アクティブ・ビューまたはエディターの最大化","⌃M","ウィンドウ"
